,image_name,cam,moon,celsius,fahr,date
0,TF_ACULEI_15825_DSCF0364.jpg,4,,17°C,44°F,2023/05/16
1,TF_ACULEI_6126_DSCF6442.jpg,1,,21°C,,2021/06/24
2,TF_ACULEI_3423_DSCF3641.jpg,1,,,,2021/06/15
3,TF_ACULEI_11574_DSCF0041.jpg,5,,14°C,57°F,08/07/2022
4,TF_ACULEI_16577_DSCF0027.jpg,4,,18°C,64°F,2023/08/18
5,TF_ACULEI_9654_IMAG0016.jpg,,,,,
6,TF_ACULEI_15515_DSCF0188.jpg,4,,2°C,35°F,2023/04/13
7,TF_ACULEI_8140_DSCF0229.jpg,1,,25°C,,2021/07/22
8,TF_ACULEI_1781_DSCF1733.jpg,,,,,2021/06/06
9,TF_ACULEI_12249_DSCF0064.jpg,7,,9°C,48°F,06/10/2022
10,TF_ACULEI_15060_DSCF0079.jpg,5,,,41°F,15/03/2023
11,TF_ACULEI_14177_DSCF0911.jpg,6,,1°C,31°F,27/01/2023
12,TF_ACULEI_15122_DSCF0181.jpg,4,,9°C,48°F,2023/03/19
13,TF_ACULEI_10131_DSCF0587.jpg,1,,,,2021/12/21
14,TF_ACULEI_3265_DSCF3335.jpg,1,,,,2021/06/12
15,TF_ACULEI_5667_DSCF5989.jpg,1,,,,2021/06/22
16,TF_ACULEI_7829_DSCF0111.jpg,1,,,,2021/07/14
17,TF_ACULEI_1113_DSCF0969.jpg,,,17°C,,2021/05/27
18,TF_ACULEI_16535_DSCF0007.jpg,4,,21°C,69°F,2023/08/12
19,TF_ACULEI_8848_DSCF0924.jpg,1,,24°C,,2021/07/30
20,TF_ACULEI_2321_DSCF2331.jpg,,,,,2021/06/08
21,TF_ACULEI_6604_DSCF6967.jpg,1,,,,2021/06/27
22,TF_ACULEI_1135_DSCF0991.jpg,1,,17°C,,2021/05/27
23,TF_ACULEI_6224_DSCF6567.jpg,1,,,,
24,TF_ACULEI_16240_DSCF0400.jpg,7,,18°C,64°F,29/06/2023
25,TF_ACULEI_15664_DSCF0067.jpg,4,,12°C,53°F,2023/04/29
26,TF_ACULEI_182_IMAG0052.jpg,,,,,
27,TF_ACULEI_13250_DSCF0191.jpg,4,,6°C,42°F,2023/01/07
28,TF_ACULEI_8764_DSCF0840.jpg,1,,25°C,,2021/07/30
29,TF_ACULEI_4643_DSCF4906.jpg,1,,19°C,,2021/06/18
30,TF_ACULEI_817_DSCF0673.jpg,,,,,
31,TF_ACULEI_13241_DSCF0074.jpg,6,,6°C,,07/01/2023
32,TF_ACULEI_5811_DSCF6130.jpg,1,,19°C,,2021/06/22
33,TF_ACULEI_7174_DSCF7520.jpg,1,,19°C,,2021/07/03
34,TF_ACULEI_3823_DSCF4041.jpg,1,,,,2021/06/16
35,TF_ACULEI_5102_DSCF5389.jpg,1,,21°C,,2021/06/20
36,TF_ACULEI_9177_IMAG0053.jpg,,,,,
37,TF_ACULEI_968_DSCF0824.jpg,1,,16°C,,2021/05/27
38,TF_ACULEI_1867_DSCF1819.jpg,1,,15°C,,2021/06/07
39,TF_ACULEI_7277_DSCF7623.jpg,1,,20°C,,2021/07/03
40,TF_ACULEI_11253_DSCF0064.jpg,5,,9°C,48°F,20/05/2022
41,TF_ACULEI_3818_DSCF4036.jpg,1,,,,2021/06/16
42,TF_ACULEI_12162_DSCF0018.jpg,5,,12°C,53°F,01/10/2022
43,TF_ACULEI_15099_DSCF0136.jpg,6,,,41°F,18/03/2023
44,TF_ACULEI_5808_DSCF6127.jpg,1,,19°C,,2021/06/22
45,TF_ACULEI_8229_DSCF0318.jpg,1,,25°C,,
46,TF_ACULEI_3598_DSCF3816.jpg,1,,20°C,,2021/06/15
47,TF_ACULEI_12322_DSCF0100.jpg,5,,14°C,57°F,11/10/2022
48,TF_ACULEI_13540_DSCF0291.jpg,6,,1°C,33°F,18/01/2023
49,TF_ACULEI_6845_DSCF7211.jpg,1,,,,2021/06/28
